SCRIPT_SECTION,DISTANCE_TIER,CHARACTER,MATCH_COUNT
291,2,HAN,448
75,3,TECHNICIAN #1,90
75,3,GENERAL HUX,68
268,1,FINN,243
440,0,KYLO REN,168
321,3,FINN,180
322,3,FINN,19
387,1,LEIA,115
388,2,LEIA,31
338,0,LEIA,2121
41,4,STORMTROOPER,62
176,0,HAN,248
113,3,FINN,1623
317,3,LEIA,1199
422,1,FINN,962
176,1,HAN,638
172,2,HAN,194
173,2,HAN,44
239,4,REY,5
239,4,HAN,20
426,4,FINN,237
219,5,HAN,162
89,1,FINN,298
159,5,HAN,283
268,1,REY,1161
301,0,KYLO REN,177
302,0,KYLO REN,321
5,4,Intro Text,1
5,0,LOR SAN TEKKA,40
338,2,HAN,14
338,2,LEIA,3208
176,3,HAN,86
231,2,HAN,317
59,1,POE,411
60,1,POE,76
91,2,FINN,202
395,0,KYLO REN,196
241,1,HAN,225
31,1,KYLO REN,552
169,1,HAN,738
18,2,LOR SAN TEKKA,106
9,1,LOR SAN TEKKA,276
445,1,REY,85
454,1,GENERAL HUX,62
455,0,REY,2
455,2,REY,52
441,3,HAN,20
434,2,HAN,12
434,0,KYLO REN,460
395,3,KYLO REN,93
14,4,LOR SAN TEKKA,298
14,4,KYLO REN,342
322,4,LEIA,127
323,4,LEIA,4
323,4,DR. KALONIA,2
268,0,FINN,252
269,0,FINN,249
436,1,HAN,200
204,0,KYLO REN,224
205,0,SNOKE,92
201,5,GENERAL HUX,428
202,5,SNOKE,143
203,0,KYLO REN,107
288,1,REY,187
282,4,REY,2096
282,2,REY,1441
438,2,KYLO REN,366
113,2,REY,349
337,3,HAN,174
337,1,HAN,245
338,1,HAN,10
438,1,KYLO REN,233
359,2,SNOKE,49
360,2,SNOKE,204
353,2,REY,225
354,2,REY,275
354,0,REY,1002
353,0,KYLO REN,540
353,0,REY,310
9,5,LOR SAN TEKKA,147
139,1,FINN,22
454,0,GENERAL HUX,12
455,1,REY,26
290,1,REY,106
321,1,FINN,189
228,4,HAN,806
144,0,HAN,92
342,0,KYLO REN,620
257,3,FINN,35
257,2,FINN,112
445,4,KYLO REN,36
445,4,REY,4
268,2,FINN,195
90,4,FINN,280
423,1,OFFICER,37
423,1,HAN,176
355,2,KYLO REN,249
127,4,FINN,491
362,4,REY,88
362,4,TROOPER GUARD #2,148
363,4,TROOPER GUARD #2,204
354,3,REY,133
445,0,FINN,10
445,0,KYLO REN,60
264,0,REY,292
446,0,KYLO REN,166
446,2,FINN,11
273,2,FINN,2559
265,2,REY,302
265,2,FINN,55
265,2,HAN,15
417,3,POE,195
350,0,KYLO REN,678
351,0,KYLO REN,343
446,2,KYLO REN,28
446,1,KYLO REN,139
439,1,HAN,367
117,4,REY,973
117,0,REY,884
290,4,REY,183
290,4,MAZ,103
41,1,POE,42
41,1,FN-2187,135
237,3,HAN,123
238,3,HAN,57
30,4,POE,18
30,0,POE,7
45,1,FN-2187,320
45,1,POE,524
352,0,KYLO REN,1015
348,1,KYLO REN,1015
267,2,FINN,246
266,4,FINN,89
266,4,REY,71
34,3,KYLO REN,130
34,3,REY,171
317,0,LEIA,1441
127,5,FINN,407
427,1,SNAP,12
427,1,JESS,23
98,3,FINN,266
7,3,LOR SAN TEKKA,540
7,3,POE,39
224,1,REY,847
90,4,REY,75
91,4,REY,48
18,1,KYLO REN,56
437,1,KYLO REN,471
443,2,KYLO REN,575
279,0,REY,12
279,0,MAZ,453
333,0,HAN,49
333,0,LEIA,95
339,0,LEIA,54
388,0,LEIA,73
389,0,LEIA,58
389,3,LEIA,33
159,4,HAN,317
250,2,MAZ,47
339,1,HAN,14
228,2,HAN,192
229,2,REY,521
229,5,HAN,459
91,4,FINN,125
319,3,LEIA,689
319,3,POE,166
286,1,GENERAL HUX,139
287,1,GENERAL HUX,116
44,5,FN-2187,78
282,5,REY,1479
327,4,C-3PO,212
328,4,HAN,458
265,4,REY,132
265,4,FINN,63
281,3,MAZ,121
281,0,MAZ,443
281,1,MAZ,299
282,1,MAZ,48
288,4,GENERAL HUX,1101
269,1,FINN,313
293,4,STORMTROOPER #4,32
293,4,REY,149
423,0,OFFICER,45
423,0,HAN,235
240,4,HAN,72
183,1,HAN,121
52,4,POE,143
52,4,FN-2187,8
65,5,POE,190
66,5,POE,39
141,5,FINN,1
361,0,KYLO REN,183
361,0,SNOKE,296
362,0,SNOKE,61
362,1,REY,437
274,4,FINN,47
426,3,REY,956
427,3,REY,31
443,1,KYLO REN,400
443,1,HAN,6
437,4,HAN,24
344,0,REY,1221
222,1,HAN,396
249,0,KYLO REN,718
326,3,HAN,16
327,2,LEIA,149
327,2,HAN,25
385,0,FINN,6
385,0,LEIA,124
386,0,LEIA,59
386,0,HAN,118
387,0,LEIA,40
387,0,HAN,76
388,2,HAN,47
337,2,LEIA,17
337,1,LEIA,27
433,1,HAN,303
58,5,FINN,819
98,0,REY,11
398,2,HAN,282
398,1,FINN,628
265,1,REY,589
265,1,FINN,35
265,1,HAN,16
44,1,FN-2187,511
315,5,FINN,9
46,4,FN-2187,266
327,0,C-3PO,67
328,0,HAN,320
194,1,HAN,32
195,1,HAN,96
275,0,MAZ,2
276,0,MAZ,152
276,1,MAZ,61
408,1,HAN,21
408,1,CAPTAIN PHASMA,166
34,5,REY,55
35,5,REY,16
60,0,POE,166
16,1,LOR SAN TEKKA,270
113,0,FINN,2447
29,3,REY,340
29,0,REY,248
29,0,KYLO REN,486
231,0,REY,15
231,4,HAN,32
371,1,FINN,34
361,2,KYLO REN,23
169,3,HAN,454
443,4,HAN,28
443,4,KYLO REN,176
236,4,REY,480
306,1,FINN,43
218,1,HAN,80
118,3,REY,123
252,3,HAN,1030
234,1,HAN,159
235,1,HAN,159
144,1,HAN,74
342,3,KYLO REN,62
343,0,KYLO REN,731
344,0,KYLO REN,586
345,0,KYLO REN,233
345,0,REY,572
346,0,KYLO REN,697
1,0,Intro Text,731
347,0,KYLO REN,899
348,5,KYLO REN,288
350,1,KYLO REN,301
351,1,KYLO REN,156
43,0,POE,450
44,0,POE,444
288,5,GENERAL HUX,993
372,5,FINN,243
372,5,LEIA,243
375,4,HAN,212
236,1,REY,478
343,3,KYLO REN,619
344,3,REY,90
235,3,HAN,408
231,1,REY,19
231,1,HAN,476
331,1,C-3PO,56
249,1,KYLO REN,296
126,3,REY,533
126,3,FINN,9
41,5,STORMTROOPER,15
256,2,MAZ,92
256,2,FINN,134
362,5,TROOPER GUARD #2,65
363,5,TROOPER GUARD #2,96
363,5,REY,24
356,2,SNOKE,80
185,4,FINN,8
185,3,FINN,18
75,4,TECHNICIAN #1,159
75,4,GENERAL HUX,97
0,1,Intro Text,164
353,3,KYLO REN,556
353,3,REY,505
352,4,KYLO REN,130
353,4,KYLO REN,318
353,4,REY,267
282,5,MAZ,38
230,2,HAN,382
264,4,REY,135
264,2,REY,227
235,3,REY,28
41,2,FN-2187,60
41,0,FN-2187,257
42,0,FN-2187,335
42,2,POE,38
242,1,HAN,136
243,1,HAN,270
103,4,FINN,60
104,4,FINN,172
370,4,POE,51
157,4,REY,55
158,4,REY,7
224,3,FINN,163
225,3,FINN,815
213,4,REY,260
214,4,REY,53
267,5,REY,374
267,5,FINN,101
127,2,FINN,633
327,3,HAN,58
268,4,REY,133
421,2,FINN,418
228,3,HAN,193
229,4,REY,474
224,1,FINN,161
225,1,FINN,524
234,2,HAN,99
234,0,HAN,108
235,0,HAN,81
235,2,HAN,254
382,5,HAN,292
382,5,POE,16
30,5,POE,41
30,5,KYLO REN,73
31,5,KYLO REN,48
395,1,KYLO REN,334
353,5,KYLO REN,289
353,5,REY,513
327,2,C-3PO,87
328,2,HAN,433
406,4,FINN,215
224,3,REY,1384
270,4,FINN,67
270,2,FINN,44
437,2,KYLO REN,151
14,2,LOR SAN TEKKA,319
14,2,KYLO REN,477
283,1,GENERAL HUX,225
239,3,REY,14
239,0,REY,14
239,0,HAN,129
0,0,Intro Text,1135
183,2,HAN,298
353,2,KYLO REN,242
438,3,KYLO REN,168
439,2,KYLO REN,29
277,3,MAZ,109
341,2,GENERAL STATURA,30
341,0,GENERAL STATURA,3
341,0,REY,12
341,0,KYLO REN,3
341,2,KYLO REN,75
333,5,LEIA,235
341,2,REY,93
215,2,HAN,236
215,2,REY,58
140,5,FINN,199
140,5,REY,132
277,4,MAZ,227
94,0,REY,2211
95,3,FINN,161
318,4,LEIA,85
380,5,FINN,164
140,1,FINN,208
140,1,REY,97
90,3,FINN,343
90,3,REY,59
91,3,REY,61
340,0,LEIA,503
387,3,LEIA,79
387,3,HAN,131
382,4,HAN,769
